flow_rate_L_min,concentration_mol_L,inlet_temperature_K,length_m,jacket_temperature_K,overall_yield
33.09,3.68,357.75,19.87,383.79,63.024
76.3,1.34,429.7,14.84,405.72,86.611
59.9,1.01,431.1,11.76,385.4,86.347
49.9,2.21,445.61,22.85,367.74,92.175
16.7,3.95,458.91,4.56,374.13,82.211
16.7,1.35,496.38,13.33,442.16,0.0
9.36,2.85,427.45,2.26,391.27,78.627
69.96,3.17,398.44,12.78,422.85,61.95
50.08,1.33,469.28,3.29,450.68,2.807
58.11,3.05,390.62,4.73,488.08,34.451
6.54,1.79,415.85,4.7,357.86,83.297
77.74,2.71,361.77,16.93,509.88,67.25
67.43,2.72,353.8,19.16,475.58,73.187
20.93,2.38,494.4,15.42,366.35,2.446
18.64,0.82,475.4,24.13,524.72,0.0
18.76,3.42,454.4,10.62,534.17,0.0
27.82,1.62,411.34,8.57,362.22,74.491
44.36,1.15,375.99,21.98,405.38,84.066
37.4,0.64,373.47,7.14,511.24,73.076
26.84,2.57,387.54,24.15,499.65,0.0
50.89,2.87,432.38,2.28,386.9,49.555
15.46,0.56,457.19,24.31,391.87,43.583
26.91,2.29,449.03,2.99,424.09,73.877
32.48,1.29,391.99,22.5,446.9,28.733
39.21,2.76,493.23,14.14,473.65,0.0
63.89,1.11,460.68,24.84,423.78,7.283
19.98,2.92,433.15,3.7,442.51,86.422
43.57,1.85,441.76,14.74,499.49,0.0
49.43,3.78,412.94,24.29,357.34,74.272
8.48,0.98,387.16,14.03,400.49,99.933
50.57,1.69,403.4,16.48,492.67,0.146
17.79,0.9,463.68,18.0,529.04,0.0
9.88,3.74,352.16,12.45,452.34,0.0
76.17,3.57,367.41,16.43,456.42,52.1
77.42,1.4,356.9,15.44,371.43,25.189
65.63,2.81,356.11,22.73,439.48,62.682
27.85,3.36,478.32,3.05,456.52,0.549
12.33,2.44,455.55,8.46,398.49,77.853
56.32,2.35,421.13,23.86,403.85,94.774
38.01,1.35,364.68,22.48,425.46,95.849
14.15,0.83,423.74,12.48,354.01,92.16
42.14,3.64,421.02,16.26,414.42,91.91
7.58,3.65,375.98,8.38,392.29,96.569
73.2,2.72,415.08,6.33,415.5,45.376
24.41,1.69,409.78,12.67,373.95,86.874
54.69,1.72,442.38,10.13,528.11,0.0
28.38,3.04,445.26,15.42,468.72,0.111
44.01,3.64,356.8,3.79,485.82,15.468
46.0,3.6,406.19,24.41,507.83,0.134
18.86,3.23,443.88,24.68,449.69,0.705
77.72,2.75,425.47,18.06,367.38,76.393
63.13,0.79,478.47,14.33,457.42,0.0
75.46,1.07,448.8,9.12,467.37,8.861
72.11,3.64,374.44,20.72,499.09,85.606
49.84,2.62,360.59,17.75,436.33,73.519
74.14,0.53,446.36,5.74,375.52,66.567
11.64,0.86,353.98,22.95,406.76,97.789
19.7,2.82,437.87,20.92,422.62,72.704
8.39,0.52,491.03,23.85,479.18,0.143
29.4,1.06,436.32,18.69,464.16,0.0
34.15,2.42,408.23,16.11,421.22,96.202
25.35,2.92,446.49,11.62,547.3,0.0
67.16,2.78,418.74,23.45,471.15,8.416
31.76,1.28,431.84,21.92,397.45,95.847
26.07,2.99,491.22,3.04,370.36,0.71
45.7,1.33,407.92,2.61,380.57,37.754
15.57,1.64,494.18,10.66,399.19,0.049
65.16,3.11,485.8,20.64,382.14,0.29
10.59,2.77,379.37,24.71,387.31,99.971
79.02,3.47,360.4,5.46,407.02,10.824
62.92,2.8,365.12,15.67,384.67,36.119
19.9,2.49,352.73,10.76,529.35,0.0
5.41,0.83,364.17,24.31,366.05,99.676
66.16,1.79,452.45,21.37,454.9,0.0
58.01,1.43,360.68,21.28,432.08,79.097
59.68,1.35,397.85,12.78,546.48,0.015
62.85,3.91,476.73,11.54,372.41,7.473
10.55,1.88,353.49,8.29,429.57,96.817
31.88,3.62,472.17,3.3,543.89,0.726
13.69,2.71,392.28,21.89,523.1,0.0
69.73,3.28,367.72,20.7,513.41,87.076
51.75,2.26,454.51,24.99,401.58,94.632
29.82,2.52,444.34,24.92,384.18,97.427
9.77,2.22,481.62,14.77,483.73,0.013
28.32,1.18,460.26,19.69,535.88,0.0
29.39,3.03,470.52,23.73,461.35,0.0
59.72,1.48,392.31,21.54,464.32,85.882
52.82,0.59,376.62,7.69,406.0,42.761
71.54,2.76,462.59,12.36,503.9,0.0
40.42,1.12,471.03,4.97,387.41,7.472
13.97,3.79,498.58,23.94,414.74,1.121
58.49,3.84,411.89,15.94,435.09,83.717
62.06,3.7,405.8,7.26,451.52,50.095
47.1,1.8,466.46,17.45,398.48,38.841
62.82,0.55,401.12,16.22,372.97,70.88
42.03,3.75,489.61,10.24,472.12,0.738
44.2,2.0,478.76,4.61,407.73,0.596
37.07,3.88,414.35,17.45,466.25,0.282
6.91,3.87,462.63,13.97,380.87,98.15
13.09,3.49,463.18,19.76,446.23,0.0
7.36,1.53,365.47,13.96,456.52,0.0
52.73,1.85,485.38,21.6,360.36,3.408
28.58,3.48,425.79,14.69,417.32,96.577
43.14,1.61,473.97,14.9,376.88,3.508
73.07,1.09,398.01,22.16,362.67,66.826
23.7,2.45,484.33,11.28,547.99,0.0
35.78,3.78,408.38,5.08,414.47,56.676
61.67,2.94,351.63,2.66,511.97,7.493
22.16,2.5,485.81,19.37,400.93,0.168
10.77,0.84,363.69,16.27,486.3,0.0
26.73,2.65,397.9,18.19,502.05,0.0
17.09,3.97,492.51,6.9,469.13,0.817
74.73,0.99,492.59,5.14,444.32,0.179
65.61,2.31,436.02,2.33,432.37,46.809
52.51,3.57,444.78,10.06,419.77,85.63
70.36,3.09,417.27,15.57,535.91,0.0
65.28,2.94,393.98,11.02,516.12,73.703
18.99,2.96,399.3,12.06,543.01,0.0
71.94,1.76,450.88,22.8,374.86,88.072
45.45,1.53,462.86,10.01,496.17,0.0
65.56,3.33,468.74,13.82,537.67,0.297
72.21,3.34,468.44,20.02,386.25,31.04
28.85,3.53,363.68,11.12,363.3,35.201
13.25,3.7,424.16,16.31,498.22,0.0
22.1,2.29,358.63,21.83,464.89,0.0
37.03,2.26,432.43,23.84,518.37,0.0
66.35,3.29,416.23,5.38,377.95,39.72
69.55,2.77,483.16,23.31,509.05,0.0
5.52,2.96,402.64,13.32,390.33,99.71
43.31,3.29,367.56,7.94,382.73,26.731
36.31,3.62,371.45,12.56,382.85,51.81
21.66,1.68,464.23,24.54,512.91,0.0
13.99,1.81,442.73,13.33,483.04,0.0
30.32,0.83,365.17,9.56,454.61,83.147
75.72,2.52,362.62,16.57,421.77,39.543
29.24,0.63,455.15,7.52,525.44,0.0
43.91,2.13,360.91,3.74,428.49,14.583
57.73,2.4,473.28,4.96,513.32,0.0
32.27,1.5,455.94,4.95,437.83,3.927
77.88,2.57,362.2,5.49,425.39,11.622
77.18,0.61,362.73,5.19,442.54,15.16
23.88,0.63,498.0,16.74,410.28,0.0
42.29,3.38,406.14,6.18,499.52,75.005
27.57,1.76,405.6,9.95,450.54,83.985
26.36,0.94,471.92,22.63,396.44,2.195
7.77,2.33,492.09,12.9,529.91,0.0
50.72,3.19,497.9,17.35,426.78,1.249
42.7,1.26,463.01,5.96,458.71,0.645
8.86,2.68,406.44,6.42,531.29,0.0
25.9,0.8,362.53,2.94,474.85,28.516
